Vernier Format 2
Untitled.cmbl 2012-10-23 16:52:30 .
Latest
Time	Angle	Velocity 1	Acceleration 1	Position 1	Velocity 2	Acceleration 2
t	Angle	v 1	a 1	x 1	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

0.02	-0.0523598775598	-2.81191935044	-4.72019986747	0.867104	0.0740784722222	-0.0967830343364
0.04	-0.10471975512	-2.9694837968	-0.632951194782	 	 	 
0.06	-0.174532925199	-2.93797090752	4.51482740533	0.870191	0.0704460069444	-0.120817515432
0.08	-0.226892802759	-2.71495661421	6.87829410074	 	 	 
0.1	-0.279252680319	-2.61799387799	7.67958337924	0.8727635	0.066670625	-0.177380425347
0.12	-0.331612557879	-2.49679045771	12.0260727009	 	 	 
0.14	-0.383972435439	-2.15742088094	17.1704845393	0.875679	0.0593104166667	-0.295733289931
0.16	-0.418879020479	-1.74532925199	19.2578767774	 	 	 
0.18	-0.453785605519	-1.33323762305	18.5508568258	0.8779085	0.0419222222222	-0.396734350887
0.2	-0.471238898038	-0.969627362219	16.4634645877	 	 	 
0.22	-0.488692190558	-0.75146120572	17.608163557	0.8789375	0.0251295138889	-0.43832740162
0.24	-0.506145483078	-0.339369576777	21.8839508834	 	 	 
0.26	-0.506145483078	0.242406840555	21.547274716	0.8799665	0.00690763888889	-0.467456597222
0.28	-0.488692190558	0.53329504922	20.2679052797	 	 	 
0.3	-0.488692190558	0.969627362219	21.412604249	0.8796235	-0.013934375	-0.453561921296
0.32	-0.453785605519	1.5271630955	16.4971322044	 	 	 
0.34	-0.418879020479	1.69684788388	9.05658890406	0.8785945	-0.0296552083333	-0.422960551698
0.36	-0.383972435439	1.76956993605	6.96919666595	 	 	 
0.38	-0.349065850399	1.86653267227	9.96561455614	0.877394	-0.0475197916667	-0.380284047068
0.4	-0.314159265359	2.18166156499	12.5916886622	 	 	 
0.42	-0.261799387799	2.49679045771	9.46060030498	0.8748215	-0.0641934027778	-0.241089168596
0.44	-0.209439510239	2.59375319394	4.34312255994	 	 	 
0.46	-0.157079632679	2.61799387799	1.17836658603	0.8717345	-0.0683618055556	-0.0642628761574
0.48	-0.10471975512	2.61799387799	-0.90902565208	 	 	 
0.5	-0.0523598775598	2.59375319394	-3.19842359065	0.869162	-0.0665753472222	0.0585561342593
0.52	0	2.52103114177	-6.53151764828	 	 	 
0.54	0.0523598775598	2.27862430121	-7.70988423431	0.866418	-0.0627642361111	0.157638406636
0.56	0.0872664625997	2.18166156499	-7.81088708454	 	 	 
0.58	0.13962634016	2.06045814472	-11.8510010938	0.864017	-0.0550229166667	0.271442418981
0.6	0.174532925199	1.72108856794	-16.2277912705	 	 	 
0.62	0.209439510239	1.33323762305	-17.1704845393	0.8617875	-0.0410885416667	0.380366753472
0.64	0.226892802759	0.969627362219	-15.0494246844	 	 	 
0.66	0.244346095279	0.775701889775	-14.3760723496	0.860587	-0.0229857638889	0.446118344907
0.68	0.261799387799	0.436332312999	-15.6554417858	 	 	 
0.7	0.261799387799	0.0969627362219	-15.5207713189	0.859901	-0.00333472222222	0.457366415895
0.72	0.261799387799	-0.121203420277	-18.2815158918	 	 	 
0.74	0.261799387799	-0.557535733276	-23.6346669541	0.8604155	0.0145298611111	0.437599585262
0.76	0.244346095279	-1.18779351872	-23.4326612536	 	 	 
0.78	0.209439510239	-1.62412583172	-17.1368169226	0.8611015	0.0312034722222	0.416261332948
0.8	0.174532925199	-1.81805130416	-12.5243534287	 	 	 
0.82	0.13962634016	-2.08469882877	-10.2686231068	0.8628165	0.0490680555556	0.359607445988
0.84	0.0872664625997	-2.20590224905	-9.69627362219	 	 	 
0.86	0.0523598775598	-2.37558703744	-12.7936943626	0.8652175	0.0620496527778	0.247457561728
0.88	0	-2.83616003449	-10.6726345078	 	 	 
0.9	-0.0698131700798	-2.93312277071	-2.89541503996	0.8679615	0.0694336805556	0.110413049769
0.92	-0.12217304764	-2.81191935044	-3.3923481308E-014	 	 	 
0.94	-0.174532925199	-2.93312277071	2.89541503996	0.870877	0.0721729166667	-0.0568192997685
0.96	-0.244346095279	-2.83616003449	10.7063021245	 	 	 
0.98	-0.296705972839	-2.37558703744	13.0293676798	0.8741355	0.0646697916667	-0.215863715278
