Vernier Format 2
Untitled.cmbl 2012-10-23 17:48:01 .
Latest
Time	Angle	Velocity 1	Acceleration 1	Position 1	Velocity 2	Acceleration 2
t	Angle	v 1	a 1	x 1	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

0.02	0.0349065850399	1.11507146655	13.1236370067	0.776895	-0.0231048611111	1.26216589506
0.04	0.0523598775598	1.39383933319	11.6220612999	 	 	 
0.06	0.0872664625997	1.64351837896	8.9993539556	0.774837	0.0202465277778	1.48637468654
0.08	0.12217304764	1.74532925199	6.57528555005	 	 	 
0.1	0.157079632679	1.84229198822	6.29921109275	0.7760375	0.08703625	1.73509765625
0.12	0.191986217719	2.06045814472	3.30615996423	 	 	 
0.14	0.244346095279	2.06045814472	-3.03008550693	0.781354	0.16506875	1.84516333912
0.16	0.279252680319	1.84229198822	-5.0838101283	 	 	 
0.18	0.314159265359	1.76956993605	-2.99641789019	0.789586	0.241171875	1.7850192419
0.2	0.349065850399	1.74532925199	-1.38037228649	 	 	 
0.22	0.383972435439	1.74532925199	-1.38037228649	0.8007335	0.312153819444	1.5832652392
0.24	0.418879020479	1.72108856794	-3.03008550693	 	 	 
0.26	0.453785605519	1.64836651577	-5.35315106225	0.814968	0.370987847222	1.282362799
0.28	0.488692190558	1.43020035927	-4.47779302691	 	 	 
0.3	0.506145483078	1.40595967522	-1.31303705301	0.8309175	0.415053819444	0.950048466435
0.32	0.541052068118	1.5271630955	-4.37679017668	 	 	 
0.34	0.575958653158	1.28475625494	-9.59527077196	0.8484105	0.448639236111	0.566125337577
0.36	0.593411945678	0.993868046275	-8.58524226965	 	 	 
0.38	0.610865238198	0.896905310053	-5.55515676271	0.867447	0.463169097222	0.111819058642
0.4	0.628318530718	0.848423941942	-5.75716246318	 	 	 
0.42	0.645771823238	0.75146120572	-9.72994123893	0.8861405	0.457333333333	-0.345133825231
0.44	0.663225115758	0.436332312999	-12.5916886622	 	 	 
0.46	0.663225115758	0.121203420277	-9.72994123893	0.904491	0.435300347222	-0.794891251929
0.48	0.663225115758	0.0242406840555	-5.79083007992	 	 	 
0.5	0.663225115758	-0.0242406840555	-5.82449769666	0.921641	0.393020833333	-1.21760368441
0.52	0.663225115758	-0.121203420277	-9.96561455614	 	 	 
0.54	0.663225115758	-0.436332312999	-13.7363876314	0.93639	0.335735069444	-1.57803819444
0.56	0.645771823238	-0.775701889775	-12.6926915124	 	 	 
0.58	0.628318530718	-0.945386678164	-10.8746402082	0.9489095	0.265110416667	-1.88099175347
0.6	0.610865238198	-1.21203420277	-8.8545832036	 	 	 
0.62	0.575958653158	-1.308996939	-6.66618811526	0.957999	0.182576041667	-2.10214867863
0.64	0.558505360638	-1.40595967522	-7.50787853385	 	 	 
0.66	0.523598775598	-1.64836651577	-6.73352334874	0.9636585	0.094325	-2.23977213542
0.68	0.488692190558	-1.72108856794	-4.41045779343	 	 	 
0.7	0.453785605519	-1.76956993605	-4.37679017668	0.9657165	0.00119097222222	-2.29816285687
0.72	0.418879020479	-1.84229198822	-6.49785003154	 	 	 
0.74	0.383972435439	-2.08469882877	-6.29584433108	0.96383	-0.0933722222222	-2.24407286844
0.76	0.331612557879	-2.15742088094	-3.16475597391	 	 	 
0.78	0.296705972839	-2.18166156499	-0.942693268824	0.957999	-0.181623263889	-2.0883367091
0.8	0.244346095279	-2.18166156499	0.942693268824	 	 	 
0.82	0.209439510239	-2.15742088094	3.16475597391	0.949081	-0.262371180556	-1.86188657407
0.84	0.157079632679	-2.08469882877	6.29584433108	 	 	 
0.86	0.12217304764	-1.84229198822	6.49785003154	0.936733	-0.333472222222	-1.55363980517
0.88	0.0872664625997	-1.76956993605	4.37679017668	 	 	 
0.9	0.0523598775598	-1.72108856794	4.41045779343	0.9218125	-0.387899652778	-1.2020548804
0.92	0.0174532925199	-1.64836651577	6.73352334874	 	 	 
0.94	-0.0174532925199	-1.40595967522	7.50787853385	0.9053485	-0.429702777778	-0.834673032407
0.96	-0.0349065850399	-1.308996939	6.66618811526	 	 	 
0.98	-0.0698131700798	-1.21203420277	8.8545832036	0.886998	-0.45661875	-0.419486882716
1	-0.0872664625997	-0.945386678164	10.8746402082	 	 	 
