Vernier Format 2
Untitled.cmbl 2012-10-23 16:50:21 .
Latest
Time	Angle	Velocity 1	Acceleration 1	Position 1	Velocity 2	Acceleration 2
t	Angle	v 1	a 1	x 1	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

0.02	0.0349065850399	2.61799387799	-7.64820305853E-014	0.8765365	-0.0500208333333	-0.255777826003
0.04	0.0872664625997	2.61799387799	-5.58195465159E-014	 	 	 
0.06	0.13962634016	2.61799387799	-1.85037170771E-014	0.874993	-0.0619901041667	-0.180787929205
0.08	0.191986217719	2.61799387799	6.7846962616E-015	 	 	 
0.1	0.244346095279	2.61799387799	-0.0336676167437	0.8717345	-0.070100625	-0.0480110677083
0.12	0.296705972839	2.61799387799	-0.26934093395	 	 	 
0.14	0.349065850399	2.61799387799	-1.41403990324	0.868819	-0.0662180555556	0.0970063416281
0.16	0.401425727959	2.59375319394	-4.41045779343	 	 	 
0.18	0.453785605519	2.49679045771	-9.72994123893	0.866418	-0.0599059027778	0.199429952739
0.2	0.506145483078	2.18166156499	-13.9720609486	 	 	 
0.22	0.541052068118	1.84229198822	-14.1067314156	0.864017	-0.0512118055556	0.309536988812
0.24	0.575958653158	1.64836651577	-15.2514303849	 	 	 
0.26	0.610865238198	1.28475625494	-18.3488511253	0.861959	-0.0344190972222	0.393930603781
0.28	0.628318530718	0.872664625997	-19.4598824779	 	 	 
0.3	0.645771823238	0.460572997054	-18.3825187421	0.861273	-0.0169118055556	0.415434268904
0.32	0.645771823238	0.0969627362219	-15.5207713189	 	 	 
0.34	0.645771823238	-0.0969627362219	-15.5544389356	0.8607585	-0.00166736111111	0.434952980324
0.36	0.645771823238	-0.460572997054	-18.5845244425	 	 	 
0.38	0.628318530718	-0.872664625997	-20.4025757467	0.86093	0.0176263888889	0.44578751929
0.4	0.610865238198	-1.308996939	-20.4025757467	 	 	 
0.42	0.575958653158	-1.72108856794	-18.517189209	0.8621305	0.0370392361111	0.385659963349
0.44	0.541052068118	-2.08469882877	-15.0494246844	 	 	 
0.46	0.488692190558	-2.27862430121	-12.9620324463	0.8641885	0.0499017361111	0.285502507716
0.48	0.453785605519	-2.59375319394	-11.0093106752	 	 	 
0.5	0.383972435439	-2.83616003449	-4.61246349389	0.8662465	0.0587149305556	0.196014178241
0.52	0.331612557879	-2.71495661421	-1.11103135254	 	 	 
0.54	0.279252680319	-2.73919729827	-3.26575882414	0.868819	0.0668135416667	0.0760898919753
0.56	0.226892802759	-2.93312277071	-1.88538653765	 	 	 
0.58	0.157079632679	-2.93312277071	4.71346634412	0.871906	0.0668135416667	-0.086841724537
0.6	0.10471975512	-2.69071593016	9.76360885568	 	 	 
0.62	0.0523598775598	-2.52103114177	13.8373904817	0.8744785	0.0583576388889	-0.220660686728
0.64	0	-2.15742088094	18.0795101914	 	 	 
0.66	-0.0349065850399	-1.74532925199	19.4598824779	0.8765365	0.0483534722222	-0.329915846836
0.68	-0.0698131700798	-1.33323762305	18.6181920593	 	 	 
0.7	-0.0872664625997	-0.969627362219	16.6654702881	0.8785945	0.0320371527778	-0.425772569444
0.72	-0.10471975512	-0.75146120572	18.517189209	 	 	 
0.74	-0.12217304764	-0.315128892721	23.7020021876	0.8792805	0.0114333333333	-0.452569444444
0.76	-0.12217304764	0.315128892721	23.6683345708	 	 	 
0.78	-0.10471975512	0.75146120572	18.2815158918	0.8792805	-0.00524027777778	-0.445125868056
0.8	-0.0872664625997	0.969627362219	15.5207713189	 	 	 
0.82	-0.0698131700798	1.308996939	15.6217741691	0.8789375	-0.0232239583333	-0.440577015818
0.84	-0.0349065850399	1.64836651577	14.1403990324	 	 	 
0.86	0	1.84229198822	13.8710580984	0.8775655	-0.0431131944444	-0.370193865741
0.88	0.0349065850399	2.18166156499	13.9383933319	 	 	 
0.9	0.0872664625997	2.49679045771	9.72994123893	0.8751645	-0.0552611111111	-0.241254581404
0.92	0.13962634016	2.59375319394	4.41045779343	 	 	 
0.94	0.191986217719	2.61799387799	1.38037228649	0.872935	-0.0614541666667	-0.124886670525
0.96	0.244346095279	2.61799387799	0.0336676167438	 	 	 
0.98	0.296705972839	2.61799387799	-1.14469896929	0.870191	-0.0646697916667	-0.017533757716
