Vernier Format 2
Untitled.cmbl 2012-10-23 16:43:02 .
Latest
Time	Angle	Velocity 1	Acceleration 1	Position 1	Velocity 2	Acceleration 2
t	Angle	v 1	a 1	x 1	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

0.02	0.0523598775598	2.86040071855	12.5445539987	0.873621	-0.0381111111111	-0.0156149691358
0.04	0.10471975512	3.13916858518	9.72657447726	 	 	 
0.06	0.174532925199	3.35975881009	4.6764319657	0.8720775	-0.0383493055556	-0.016020230517
0.08	0.244346095279	3.36945508371	-1.71368169226	 	 	 
0.1	0.314159265359	3.17552961127	-3.47786480963	0.8707055	-0.0402310416667	0.00655034722221
0.12	0.366519142919	3.15128892721	-2.27593089188	 	 	 
0.14	0.436332312999	3.24825166343	-7.84455470129	0.868819	-0.0408503472222	0.0929785397377
0.16	0.506145483078	2.93312277071	-17.5071607067	 	 	 
0.18	0.558505360638	2.37558703744	-20.4025757467	0.867104	-0.0334663194444	0.202167534722
0.2	0.593411945678	2.08469882877	-21.4462718657	 	 	 
0.22	0.645771823238	1.62412583172	-26.0250677429	0.866075	-0.0231048611111	0.277215326003
0.24	0.663225115758	0.969627362219	-27.3717724126	 	 	 
0.26	0.680678408278	0.460572997054	-25.9914001262	0.8652175	-0.0108378472222	0.330660204475
0.28	0.680678408278	-0.0242406840555	-26.1934058266	 	 	 
0.3	0.680678408278	-0.53329504922	-28.5164713819	0.865046	0.00488298611111	0.339427083333
0.32	0.663225115758	-1.21203420277	-29.0214856331	 	 	 
0.34	0.628318530718	-1.74532925199	-26.8330905447	0.865732	0.0181027777778	0.299397183642
0.36	0.593411945678	-2.25438361716	-25.0823744741	 	 	 
0.38	0.541052068118	-2.83616003449	-19.7292234118	0.8665895	0.0287024305556	0.248284625772
0.4	0.471238898038	-3.05432619099	-14.0057285654	 	 	 
0.42	0.418879020479	-3.24825166343	-13.7027200147	0.8679615	0.0394211805556	0.155984278549
0.44	0.349065850399	-3.70882466049	-8.41690418593	 	 	 
0.46	0.261799387799	-3.7573060286	4.24211970971	0.8700195	0.042875	0.0211728395062
0.48	0.191986217719	-3.46641781993	13.9047257152	 	 	 
0.5	0.12217304764	-3.07856687505	18.0795101914	0.871563	0.0408503472222	-0.109834104938
0.52	0.0698131700798	-2.69071593016	19.3925472444	 	 	 
0.54	0.0174532925199	-2.39982772149	24.0723459718	0.8734495	0.0337045138889	-0.227029079861
0.56	-0.0349065850399	-1.74532925199	29.3581618005	 	 	 
0.58	-0.0523598775598	-1.06659009844	28.2134628312	0.8744785	0.0207229166667	-0.293525028935
0.6	-0.0698131700798	-0.678739153553	29.1561561001	 	 	 
0.62	-0.0872664625997	0.0242406840555	32.5229177744	0.874993	0.00917048611111	-0.325532407407
0.64	-0.0698131700798	0.75146120572	30.3681903028	 	 	 
0.66	-0.0523598775598	1.28475625494	25.9914001262	0.875336	-0.00524027777778	-0.344058641975
0.68	-0.0174532925199	1.74532925199	23.1633203197	 	 	 
0.7	0.0174532925199	2.18166156499	21.8166156499	0.87465	-0.0207229166667	-0.301051311728
0.72	0.0698131700798	2.61799387799	20.3689081299	 	 	 
0.74	0.12217304764	3.03008550693	16.9348112221	0.8734495	-0.0309652777778	-0.211066743827
0.76	0.191986217719	3.36945508371	9.72994123893	 	 	 
0.78	0.261799387799	3.44217713588	1.38037228649	0.8720775	-0.0376347222222	-0.108676215278
0.8	0.331612557879	3.39369576777	-5.31948344551	 	 	 
0.82	0.401425727959	3.15128892721	-8.61890988639	0.8703625	-0.0408503472222	0.020345775463
0.84	0.453785605519	3.03008550693	-11.0093106752	 	 	 
0.86	0.523598775598	2.83616003449	-18.3488511253	0.868476	-0.0357291666667	0.141758777006
0.88	0.575958653158	2.25438361716	-23.6683345708	 	 	 
0.9	0.610865238198	1.76956993605	-23.6009993373	0.867447	-0.0277496527778	0.222149402006
0.92	0.645771823238	1.308996939	-22.7593089188	 	 	 
0.94	0.663225115758	0.872664625997	-22.2879622843	0.8662465	-0.018221875	0.29592351466
0.96	0.680678408278	0.436332312999	-23.2643231699	 	 	 
0.98	0.680678408278	-0.0242406840555	-26.1934058266	0.865732	-0.00297743055556	0.333720341435
1	0.680678408278	-0.557535733276	-31.2772159549	 	 	 
