Vernier Format 2
Untitled.cmbl 2012-10-23 16:34:47 .
Latest
Time	Angle	Velocity 1	Acceleration 1	Position 1	Velocity 2	Acceleration 2
t	Angle	v 1	a 1	x 1	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

0.02	0.0349065850399	-0.048481368111	-14.8272184139	0.8672755	0.00238194444444	0.134629484954
0.04	0.0349065850399	-0.242406840555	-22.291329046	 	 	 
0.06	0.0349065850399	-0.712676111231	-32.8663274652	0.8672755	0.00672899305556	0.158399305556
0.08	0.0174532925199	-1.64836651577	-39.3035757866	 	 	 
0.1	-0.0349065850399	-2.49679045771	-35.7482754585	0.867447	0.0148633333333	0.166810546875
0.12	-0.0872664625997	-3.1028075591	-29.1090214366	 	 	 
0.14	-0.157079632679	-3.70882466049	-19.7292234118	0.868476	0.0227475694444	0.115482952353
0.16	-0.244346095279	-3.90275013293	-9.89827932265	 	 	 
0.18	-0.314159265359	-3.99971286915	-4.24211970971	0.869505	0.0252486111111	0.0279630353009
0.2	-0.401425727959	-4.14515697349	4.41045779343	 	 	 
0.22	-0.488692190558	-3.87850944888	15.3524332351	0.870534	0.0252486111111	-0.070035783179
0.24	-0.558505360638	-3.46641781993	23.8703402713	 	 	 
0.26	-0.628318530718	-2.93312277071	32.4555825409	0.8717345	0.0196510416667	-0.16442033179
0.28	-0.680678408278	-2.15742088094	40.064463925	 	 	 
0.3	-0.715584993318	-1.28475625494	45.1482740533	0.872249	0.0101232638889	-0.211397569444
0.32	-0.733038285838	-0.339369576777	48.4140328775	 	 	 
0.34	-0.733038285838	0.75146120572	46.3939758728	0.8724205	0.00226284722222	-0.236788435571
0.36	-0.698131700798	1.62412583172	39.0881030395	 	 	 
0.38	-0.663225115758	2.25438361716	33.633949127	0.872592	-0.00893229166667	-0.244976369599
0.4	-0.610865238198	2.95736345477	28.3144656815	 	 	 
0.42	-0.541052068118	3.44217713588	20.6382490639	0.8717345	-0.0201274305556	-0.183690923997
0.44	-0.471238898038	3.80578739671	11.8510010938	 	 	 
0.46	-0.383972435439	3.90275013293	3.40042929112	0.8707055	-0.0248913194444	-0.0841951195988
0.48	-0.314159265359	3.90275013293	-3.40042929112	 	 	 
0.5	-0.226892802759	3.80578739671	-11.8510010938	0.8696765	-0.0265586805556	0.0174510513117
0.52	-0.157079632679	3.44217713588	-20.6045814472	 	 	 
0.54	-0.0872664625997	2.95736345477	-28.0451247475	0.868476	-0.0242958333333	0.13282648534
0.56	-0.0349065850399	2.25438361716	-32.2535768405	 	 	 
0.58	0	1.64836651577	-34.94698618	0.867447	-0.01500625	0.222066695602
0.6	0.0349065850399	0.872664625997	-38.1117421539	 	 	 
0.62	0.0349065850399	0.0727220521664	-39.1217706562	0.8672755	-0.00452569444444	0.259449990355
0.64	0.0349065850399	-0.630257785442	-42.1518561631	 	 	 
0.66	0.0174532925199	-1.64836651577	-42.9262113482	0.867104	0.00607395833333	0.272848427855
0.68	-0.0349065850399	-2.49679045771	-36.5293641669	 	 	 
0.7	-0.0872664625997	-3.1028075591	-29.2234913335	0.8676185	0.0190555555556	0.233811005015
0.72	-0.157079632679	-3.70882466049	-19.7292234118	 	 	 
0.74	-0.244346095279	-3.90275013293	-9.89827932265	0.868819	0.0272732638889	0.130097173997
0.76	-0.314159265359	-3.99971286915	-4.24211970971	 	 	 
0.78	-0.401425727959	-4.14515697349	4.41045779343	0.8700195	0.0295361111111	0.0124886670525
0.8	-0.488692190558	-3.87850944888	15.3861008519	 	 	 
0.82	-0.558505360638	-3.46641781993	24.0723459718	0.87122	0.0287024305556	-0.115292727623
0.84	-0.628318530718	-2.93312277071	33.364608193	 	 	 
0.86	-0.680678408278	-2.13318019688	41.8825152292	0.872592	0.0206038194444	-0.238442563657
0.88	-0.715584993318	-1.21203420277	47.2693339082	 	 	 
0.9	-0.733038285838	-0.121203420277	46.3939758728	0.8731065	0.00655034722222	-0.284261911651
0.92	-0.715584993318	0.75146120572	40.2664696255	 	 	 
0.94	-0.698131700798	1.40595967522	37.1017136516	0.872935	-0.00440659722222	-0.264246961806
0.96	-0.663225115758	2.18166156499	35.9570146823	 	 	 
0.98	-0.610865238198	2.93312277071	31.0415426377	0.8727635	-0.0148871527778	-0.219420090664
