Vernier Format 2
Untitled.cmbl 2012-10-23 17:05:43 .
Latest
Time	Angle	Velocity 1	Acceleration 1	Position 1	Velocity 2	Acceleration 2
t	Angle	v 1	a 1	x 1	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

0.02	0	-0.872664625997	-0.579083007992	0.8432655	0.0650270833333	0.489820408951
0.04	-0.0174532925199	-0.872664625997	-1.94598824779	 	 	 
0.06	-0.0349065850399	-0.901753446864	-4.58552940049	0.8453235	0.0832489583333	0.520396966628
0.08	-0.0523598775598	-0.993868046275	-9.43366621159	 	 	 
0.1	-0.0698131700798	-1.308996939	-12.7398261758	0.8490965	0.107116041667	0.521149594907
0.12	-0.10471975512	-1.62412583172	-10.6322333677	 	 	 
0.14	-0.13962634016	-1.74532925199	-7.60888138408	0.85407	0.127434027778	0.459549864969
0.16	-0.174532925199	-1.84229198822	-7.91188993477	 	 	 
0.18	-0.209439510239	-2.08469882877	-7.67621661757	0.8593865	0.145655902778	0.339658661265
0.2	-0.261799387799	-2.18166156499	-6.19484148084	 	 	 
0.22	-0.296705972839	-2.27862430121	-6.26217671433	0.8659035	0.157446527778	0.142470052083
0.24	-0.349065850399	-2.49679045771	-3.29942644088	 	 	 
0.26	-0.401425727959	-2.49679045771	3.03008550693	0.8724205	0.157327430556	-0.0731124614198
0.28	-0.453785605519	-2.27862430121	5.15114536179	 	 	 
0.3	-0.488692190558	-2.20590224905	3.43409690786	0.8785945	0.151610763889	-0.292036313657
0.32	-0.541052068118	-2.18166156499	3.50143214135	 	 	 
0.34	-0.575958653158	-2.13318019688	6.66618811526	0.88494	0.134698958333	-0.518817274306
0.36	-0.628318530718	-1.98773609255	12.8273619794	 	 	 
0.38	-0.663225115758	-1.50292241144	13.9383933319	0.889742	0.107544791667	-0.68216242284
0.4	-0.680678408278	-1.33323762305	10.773637358	 	 	 
0.42	-0.715584993318	-1.18779351872	11.8846687105	0.893515	0.0784850694444	-0.79472583912
0.44	-0.733038285838	-0.872664625997	13.4670466975	 	 	 
0.46	-0.750491578358	-0.557535733276	11.9183363273	0.896259	0.0434704861111	-0.87817660108
0.48	-0.750491578358	-0.412091628943	11.0429782919	 	 	 
0.5	-0.767944870878	-0.242406840555	15.3187656184	0.8971165	0.005359375	-0.890582561728
0.52	-0.767944870878	0.26664752461	16.9684788388	 	 	 
0.54	-0.750491578358	0.509054365165	14.982089451	0.8964305	-0.0281069444444	-0.880492380401
0.56	-0.750491578358	0.848423941942	13.0967029133	 	 	 
0.58	-0.715584993318	1.11507146655	8.04656040175	0.8950585	-0.0647888888889	-0.856838348765
0.6	-0.698131700798	1.06659009844	7.67621661757	 	 	 
0.62	-0.680678408278	1.33323762305	10.9756430585	0.8912855	-0.100875347222	-0.731786265432
0.64	-0.645771823238	1.62412583172	9.72994123893	 	 	 
0.66	-0.610865238198	1.74532925199	7.37320806687	0.8864835	-0.125052083333	-0.555869743441
0.68	-0.575958653158	1.84229198822	7.64254900082	 	 	 
0.7	-0.541052068118	2.08469882877	6.53151764828	0.881167	-0.144226736111	-0.387727623457
0.72	-0.488692190558	2.15742088094	3.19842359065	 	 	 
0.74	-0.453785605519	2.18166156499	0.976360885568	0.8748215	-0.157684722222	-0.179886429398
0.76	-0.401425727959	2.18166156499	-0.707019951618	 	 	 
0.78	-0.366519142919	2.15742088094	-2.02005700462	0.868133	-0.159709375	0.0545862268518
0.8	-0.314159265359	2.10893951283	-3.33309405763	 	 	 
0.82	-0.279252680319	1.93925472444	-1.41403990324	0.8617875	-0.152920833333	0.282194251543
0.84	-0.244346095279	2.08469882877	-1.313037053	 	 	 
0.86	-0.191986217719	2.03621746066	-7.47421091711	0.8556135	-0.136961805556	0.497479021991
0.88	-0.157079632679	1.74532925199	-11.817333477	 	 	 
0.9	-0.12217304764	1.43020035927	-10.4706288073	0.8504685	-0.111117708333	0.660245225694
0.92	-0.10471975512	1.308996939	-7.7772194678	 	 	 
0.94	-0.0698131700798	1.21203420277	-8.8545832036	0.8466955	-0.0822961805556	0.771816165123
0.96	-0.0523598775598	0.945386678164	-9.79727647242	 	 	 
0.98	-0.0349065850399	0.799942573831	-9.96561455614	0.84378	-0.0497826388889	0.874454812886
