Vernier Format 2
Untitled.cmbl 2012-10-23 17:02:49 .
Latest
Time	Angle	Velocity 1	Acceleration 1	Position 1	Velocity 2	Acceleration 2
t	Angle	v 1	a 1	x 1	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

0.02	0.0523598775598	1.79381062011	5.6359590429	0.8813385	-0.111236805556	-0.0852703028549
0.04	0.0872664625997	1.8786530143	6.58538583507	 	 	 
0.06	0.12217304764	2.09439510239	5.78746331825	0.877051	-0.115464756944	-0.0536764564043
0.08	0.174532925199	2.15742088094	3.09405397875	 	 	 
0.1	0.209439510239	2.18166156499	1.9964896729	0.8720775	-0.117191666667	0.00161277488425
0.12	0.261799387799	2.20590224905	2.00658995793	 	 	 
0.14	0.296705972839	2.25438361716	1.91905415439	0.8676185	-0.116715277778	0.0925898196373
0.16	0.349065850399	2.39982772149	-3.19842359065	 	 	 
0.18	0.401425727959	2.15742088094	-9.35959745475	0.862645	-0.112427777778	0.252378592785
0.2	0.436332312999	1.86653267227	-8.5515746529	 	 	 
0.22	0.471238898038	1.76956993605	-5.55515676271	0.858186	-0.0969451388889	0.424945505401
0.24	0.506145483078	1.72108856794	-5.75716246318	 	 	 
0.26	0.541052068118	1.62412583172	-9.76360885568	0.854756	-0.0763413194444	0.54991488233
0.28	0.575958653158	1.308996939	-12.8273619794	 	 	 
0.3	0.593411945678	0.993868046275	-10.8746402082	0.852012	-0.052521875	0.651726466049
0.32	0.610865238198	0.872664625997	-8.78724797011	 	 	 
0.34	0.628318530718	0.75146120572	-11.1439811422	0.850297	-0.0226284722222	0.706974344136
0.36	0.645771823238	0.436332312999	-14.2414018826	 	 	 
0.38	0.645771823238	0.0969627362219	-14.1067314156	0.850297	0.00595486111111	0.710778838735
0.4	0.645771823238	-0.0969627362219	-15.0157570677	 	 	 
0.42	0.645771823238	-0.460572997054	-17.1704845393	0.8508115	0.0339427083333	0.704079619985
0.44	0.628318530718	-0.848423941942	-16.2614588872	 	 	 
0.46	0.610865238198	-1.18779351872	-12.1203420277	0.8528695	0.0639552083333	0.646433256173
0.48	0.575958653158	-1.308996939	-9.19125937103	 	 	 
0.5	0.558505360638	-1.43020035927	-11.8510010938	0.856128	0.0886083333333	0.514433834877
0.52	0.523598775598	-1.76956993605	-14.847418984	 	 	 
0.54	0.488692190558	-2.13318019688	-12.7936943626	0.860244	0.105639236111	0.356630015432
0.56	0.436332312999	-2.39982772149	-5.55515676271	 	 	 
0.58	0.383972435439	-2.27862430121	-1.51504275347	0.864703	0.117191666667	0.191382619599
0.6	0.349065850399	-2.30286498527	-4.27578732645	 	 	 
0.62	0.296705972839	-2.52103114177	-4.17478447622	0.869848	0.121836458333	0.00893229166666
0.64	0.244346095279	-2.56951250988	0.235673317206	 	 	 
0.66	0.191986217719	-2.52103114177	5.35315106225	0.8748215	0.116596180556	-0.150112123843
0.68	0.13962634016	-2.27862430121	7.2385375999	 	 	 
0.7	0.10471975512	-2.18166156499	6.63252049851	0.879109	0.109807638889	-0.308494888117
0.72	0.0523598775598	-2.08469882877	8.8545832036	 	 	 
0.74	0.0174532925199	-1.81805130416	10.8746402082	0.883911	0.094325	-0.508396267361
0.76	-0.0174532925199	-1.64836651577	12.7263591291	 	 	 
0.78	-0.0523598775598	-1.308996939	14.0057285654	0.8871695	0.0663371527778	-0.641140046296
0.8	-0.0698131700798	-0.993868046275	11.3459868426	 	 	 
0.82	-0.0872664625997	-0.872664625997	9.96561455614	0.889056	0.0398975694444	-0.69613980517
0.84	-0.10471975512	-0.727220521664	14.1067314156	 	 	 
0.86	-0.12217304764	-0.339369576777	19.3252120109	0.890428	0.0110760416667	-0.74113208912
0.88	-0.12217304764	0.218166156499	17.204152156	 	 	 
0.9	-0.10471975512	0.412091628943	12.1876772612	0.890085	-0.0206038194444	-0.744026813272
0.92	-0.10471975512	0.557535733276	13.2313733803	 	 	 
0.94	-0.0872664625997	0.896905310053	16.2277912705	0.888713	-0.0504972222222	-0.690681182485
0.96	-0.0698131700798	1.28475625494	15.8237798695	 	 	 
0.98	-0.0349065850399	1.62412583172	10.8746402082	0.885969	-0.0778895833333	-0.579854600694
1	0	1.72108856794	5.79083007992	 	 	 
