Vernier Format 2
Untitled.cmbl 2012-10-23 17:04:26 .
Latest
Time	Angle	Velocity 1	Acceleration 1	Position 1	Velocity 2	Acceleration 2
t	Angle	v 1	a 1	x 1	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

0.02	0.0523598775598	1.93925472444	7.42034273032	0.877051	-0.152444444444	0.0188901427469
0.04	0.0872664625997	2.13318019688	4.69999929742	 	 	 
0.06	0.13962634016	2.16711715456	1.97965586453	0.8710485	-0.153397222222	0.0827146749614
0.08	0.174532925199	2.18166156499	0.48481368111	 	 	 
0.1	0.226892802759	2.18166156499	-1.0504296424	0.8645315	-0.149419375	0.187032262731
0.12	0.261799387799	2.15742088094	-3.21189063735	 	 	 
0.14	0.314159265359	2.08469882877	-6.49785003154	0.858872	-0.13934375	0.32002416088
0.16	0.349065850399	1.84229198822	-7.44054330036	 	 	 
0.18	0.383972435439	1.74532925199	-6.43051479805	0.853384	-0.126123958333	0.515327064043
0.2	0.418879020479	1.64836651577	-7.70988423431	 	 	 
0.22	0.453785605519	1.40595967522	-7.91188993477	0.848239	-0.0992079861111	0.729354697145
0.24	0.471238898038	1.308996939	-7.60888138408	 	 	 
0.26	0.506145483078	1.18779351872	-10.6726345078	0.845152	-0.0638361111111	0.850966194059
0.28	0.523598775598	0.872664625997	-13.0293676798	 	 	 
0.3	0.541052068118	0.557535733276	-10.9419754417	0.8432655	-0.0292979166667	0.912168933256
0.32	0.541052068118	0.436332312999	-8.98925367057	 	 	 
0.34	0.558505360638	0.315128892721	-12.086674411	0.8425795	0.0101232638889	0.928627507716
0.36	0.558505360638	-0.0242406840555	-16.2614588872	 	 	 
0.38	0.558505360638	-0.412091628943	-17.1704845393	0.844123	0.0481152777778	0.86362027392
0.4	0.541052068118	-0.775701889775	-15.0157570677	 	 	 
0.42	0.523598775598	-0.969627362219	-14.0730637989	0.8466955	0.0797951388889	0.770079330633
0.44	0.506145483078	-1.308996939	-14.0057285654	 	 	 
0.46	0.471238898038	-1.62412583172	-9.99928217288	0.8504685	0.110403125	0.647921971451
0.48	0.436332312999	-1.72108856794	-5.79083007992	 	 	 
0.5	0.401425727959	-1.76956993605	-5.55515676271	0.855785	0.133627083333	0.473742283951
0.52	0.366519142919	-1.86653267227	-8.58524226965	 	 	 
0.54	0.331612557879	-2.15742088094	-9.59527077196	0.8614445	0.148514236111	0.283186728395
0.56	0.279252680319	-2.39982772149	-4.34312255994	 	 	 
0.58	0.226892802759	-2.27862430121	-1.0773637358	0.86779	0.157446527778	0.0627741608796
0.6	0.191986217719	-2.30286498527	-3.29942644088	 	 	 
0.62	0.13962634016	-2.49679045771	-2.08739223811	0.8744785	0.15435	-0.172277440201
0.64	0.0872664625997	-2.49679045771	3.73710545855	 	 	 
0.66	0.0349065850399	-2.27862430121	7.47421091711	0.880481	0.141368402778	-0.357870611497
0.68	0	-2.15742088094	9.3932650715	 	 	 
0.7	-0.0523598775598	-1.98773609255	13.9047257152	0.8857975	0.125052083333	-0.521794704861
0.72	-0.0872664625997	-1.50292241144	13.9720609486	 	 	 
0.74	-0.10471975512	-1.33323762305	9.86461170591	0.890771	0.100637152778	-0.693245081019
0.76	-0.13962634016	-1.21203420277	9.83094408917	 	 	 
0.78	-0.157079632679	-0.945386678164	10.2012878733	0.894201	0.0672899305556	-0.806470148534
0.8	-0.174532925199	-0.799942573831	10.9419754417	 	 	 
0.82	-0.191986217719	-0.509054365165	11.8510010938	0.8960875	0.0338236111111	-0.861221788194
0.84	-0.191986217719	-0.339369576777	13.1640381468	 	 	 
0.86	-0.209439510239	0	15.1504275347	0.896945	-0.00142916666667	-0.903650173611
0.88	-0.191986217719	0.339369576777	14.0730637989	 	 	 
0.9	-0.191986217719	0.53329504922	13.9047257152	0.8960875	-0.0391829861111	-0.911507282022
0.92	-0.174532925199	0.872664625997	14.2077342658	 	 	 
0.94	-0.157079632679	1.18779351872	11.1439811422	0.893858	-0.077175	-0.840876012731
0.96	-0.12217304764	1.308996939	8.75358035337	 	 	 
0.98	-0.10471975512	1.43020035927	10.6726345078	0.889742	-0.110164930556	-0.673974488812
1	-0.0698131700798	1.74532925199	11.8510010938	 	 	 
