Vernier Format 2
Untitled.cmbl 2012-10-23 16:47:49 .
Latest
Time	Angle	Velocity 1	Acceleration 1	Position 1	Velocity 2	Acceleration 2
t	Angle	v 1	a 1	x 1	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

0.02	-0.0523598775598	-2.37558703744	16.3355276441	0.8751645	0.0412076388889	-0.185378134645
0.04	-0.10471975512	-2.06045814472	17.2984214829	 	 	 
0.06	-0.13962634016	-1.71624043113	18.8875329932	0.8768795	0.0361460069444	-0.263221402392
0.08	-0.174532925199	-1.308996939	20.6113149705	 	 	 
0.1	-0.191986217719	-0.872664625997	21.5270741459	0.8785945	0.02401	-0.363122468171
0.12	-0.209439510239	-0.436332312999	21.8098821266	 	 	 
0.14	-0.209439510239	0	22.0186213504	0.879109	0.00488298611111	-0.416335768711
0.16	-0.209439510239	0.436332312999	22.725641302	 	 	 
0.18	-0.191986217719	0.896905310053	23.6009993373	0.878766	-0.0114333333333	-0.41669967689
0.2	-0.174532925199	1.38171899116	23.6683345708	 	 	 
0.22	-0.13962634016	1.96349540849	18.3488511253	0.8782515	-0.0284642361111	-0.398198254244
0.24	-0.0872664625997	2.15742088094	11.0429782919	 	 	 
0.26	-0.0523598775598	2.27862430121	8.92191843709	0.8765365	-0.0454951388889	-0.321727912809
0.28	0	2.52103114177	7.00286428269	 	 	 
0.3	0.0523598775598	2.59375319394	4.37679017668	0.874307	-0.0552611111111	-0.212141927083
0.32	0.10471975512	2.64223456205	3.90544354227	 	 	 
0.34	0.157079632679	2.71495661421	4.14111685948	0.8720775	-0.0624069444444	-0.0937890625
0.36	0.209439510239	2.90888208666	-0.134670466975	 	 	 
0.38	0.279252680319	2.83616003449	-9.56160315522	0.869162	-0.0643125	0.0593004918982
0.4	0.331612557879	2.37558703744	-12.5580210454	 	 	 
0.42	0.366519142919	2.20590224905	-9.6289383887	0.8665895	-0.0571666666667	0.199074315201
0.44	0.418879020479	2.08469882877	-10.0329497896	 	 	 
0.46	0.453785605519	1.81805130416	-11.3796544594	0.8645315	-0.0470434027778	0.303367091049
0.48	0.488692190558	1.64836651577	-14.1403990324	 	 	 
0.5	0.523598775598	1.28475625494	-18.1131778081	0.862645	-0.0319180555556	0.377389322917
0.52	0.541052068118	0.872664625997	-19.4598824779	 	 	 
0.54	0.558505360638	0.460572997054	-18.6181920593	0.861959	-0.0154826388889	0.412787663966
0.56	0.558505360638	0.0969627362219	-16.6654702881	 	 	 
0.58	0.558505360638	-0.121203420277	-18.517189209	0.8614445	0.000714583333333	0.443719859182
0.6	0.558505360638	-0.557535733276	-23.7020021876	 	 	 
0.62	0.541052068118	-1.18779351872	-23.7020021876	0.8617875	0.0214375	0.432637201003
0.64	0.506145483078	-1.62412583172	-18.4835215923	 	 	 
0.66	0.471238898038	-1.84229198822	-16.4297969709	0.863331	0.0381111111111	0.35257740162
0.68	0.436332312999	-2.20590224905	-17.4061578565	 	 	 
0.7	0.383972435439	-2.59375319394	-16.02578557	0.865046	0.0495444444444	0.260938705633
0.72	0.331612557879	-2.93312277071	-10.6726345078	 	 	 
0.74	0.261799387799	-3.03008550693	-4.57879587715	0.8672755	0.0594295138889	0.151435426312
0.76	0.209439510239	-3.05432619099	-1.17836658603	 	 	 
0.78	0.13962634016	-3.05432619099	1.17836658603	0.8700195	0.0631215277778	0.00959394290123
0.8	0.0872664625997	-3.03008550693	4.61246349389	 	 	 
0.82	0.0174532925199	-2.93312277071	10.908307825	0.872592	0.0595486111111	-0.12116488233
0.84	-0.0349065850399	-2.59375319394	17.1368169226	 	 	 
0.86	-0.0872664625997	-2.18166156499	20.1332348127	0.8748215	0.0529982638889	-0.239104214892
0.88	-0.12217304764	-1.74532925199	20.4025757467	 	 	 
0.9	-0.157079632679	-1.33323762305	18.8201977597	0.877051	0.0404930555556	-0.348855613426
0.92	-0.174532925199	-0.969627362219	16.6991379049	 	 	 
0.94	-0.191986217719	-0.75146120572	18.5508568258	0.8782515	0.0229857638889	-0.406419270833
0.96	-0.209439510239	-0.315128892721	23.9376755048	 	 	 
0.98	-0.209439510239	0.315128892721	24.8467011569	0.878766	0.00702673611111	-0.431727430556
1	-0.191986217719	0.775701889775	21.4462718657	 	 	 
